brand, product_name, Price
ZOTAC,ZOTAC GAMING GeForce RTX 2080 AMP 8GB GDDR6 256-bit Gaming Graphics Card| Active Fan Control| Metal Backplate| Spectra Lighting (ZT-T20800D-10P),60886
ZOTAC,ZOTAC GAMING GeForce RTX 2080 Blower 8GB GDDR6 256-bit Gaming Graphics Card| Metal Backplate (ZT-T20800A-10P),55798
PNY Technologies Inc.,PNY GeForce RTX 2080 8GB XLR8 Gaming Overclocked Edition Graphics Card,61610
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Edition 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810D-10P,52555
Lenovo,Lenovo 4X60M28228 Nvidia Quadro M2000 - Graphics Card - Quadro M2000 - 4 Gb - 4 X Displayport - For Thinkstation P410| P510,32010
Diamond Multimedia,Diamond Multimedia AMD Radeon 8GB GDDR5 Memory PCI-E Graphics Card,26472
Sapphire Tech,Sapphire VCX 11256-57-21G Radeon RX 470 8GB GDDR5 PCI-E DVI-D Quad Firmware Graphics Card - Brown Box,25119
EVGA,EVGA GeForce RTX 2080 XC GAMING| 08G-P4-2182-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,57986
AMD,AMD Radeon RX 580 8GB GDDR5 PCI Express 3.0 Gaming Graphics Card - OEM,29295
EVGA,EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0| 6GB GDDR5| LED| DX12 OSD Support (PXOC)| 06G-P4-6267-KR,20290
EVGA,EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition| 08G-P4-5173-KR| 8GB GDDR5| LED| DX12 OSD Support (PXOC),27537
XFX,XFX Radeon RX Vega 56 8GB HBM2 PCI Express 3.0 Double Dissipation Cooling Graphic Card RX-VEGALDFF6,34294
Sapphire Tech,Sapphire 11265-05-20G Radeon PULSE RX 580 8GB GDDR5 DUAL HDMI / DVI-D / DUAL DP OC with Backplate (UEFI) PCI-E Graphics Card Graphic Cards,26227
EVGA,6 Packs of EVGA - NVIDIA GeForce GTX 1060 6144MB GDDR5 PCI Express 3.0 Graphics Cards - Black (06G-P4-6264-KB),26537
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Extreme Core 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810F-10P,62698
AMD,6 Packs of AMD RADEON RX 580 GRAPHICS CARDS WITH 4GB GDDR5 DEDICTAED MEMORY - OEM,22114
ASUS,ASUS ROG Strix Radeon RX 580 O8G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card with RGB Lighting (ROG-STRIX-RX580-O8G-GAMING),28653
EVGA,EVGA GeForce GTX 1080 DirectX 12 08G-P4-6286-KR 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support FTW GAMING ACX 3.0 Graphics Card,54329
ASUS,ASUS AMD Radeon R7 250 1GB DDR5 128-Bit DisplayPort HDMI DVI Graphics Card R7250-1GD5-V2,7519
EVGA,EVGA GeForce GTX 1070 Graphic Card - 1.51 GHz Core - 1.68 GHz Boost Clock - 8 GB GDDR5 - PCI Express 3.0 x16 - Dual Slot Space Required - 256 bit Bus Width - SLI - Fan Cooler - OpenGL 4.5| DirectX 12,35488
ASUS,ASUS GeForce GT 710 2GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-2GD5-CSM),5390
ASUS,ASUS Cerberus GeForce GTX 1050 Ti 4GB OC Edition GDDR5 Gaming Graphics Card| CERBERUS-GTX1050TI-O4G,16203
ASUS,ASUS Radeon RX 580 O4G Dual-fan OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (DUAL-RX580-O4G),22543
AMD,AMD Radeon RX 480 8GB GDDR5 Graphics Card| PCI Express 3.0| DirectX 12| OpenGL 4.5 - OEM,31497
ASUS,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),18524
ASUS,ASUS GeForce GTX 1060 3GB Phoenix Fan Edition VR Ready HDMI DP DVI Graphics Card (PH-GTX1060-3G),19260
ASUS,ASUS Radeon RX 560 4GB EVO OC Edition GDDR5 DP HDMI DVI AMD Graphics Card (RX560-O4G-EVO),13458
NVIDIA,6 Packs of NVIDIA - Founders Edition GeForce GTX 1070 8GB GDDR5 PCI Express 3.0 Graphics Cards,53638
VisionTek,VisionTek Radeon 4350 512MB DDR2 (DVI-I| HDMI| VGA) Graphics Card - 900270,2999
ASUS,ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G),7954
MSI,MSI GeForce GT 1030 AERO ITX 2GB GDDR4 Graphics Card,7645
VisionTek,Visiontek Radeon R7 240 Graphic Card - 2 GB DDR3 SDRAM - PCI Express 3.0 x8 - HDMIDVI,6660
EVGA,EVGA - NVIDIA GeForce GTX 1060 6144MB GDDR5 PCI Express 3.0 Graphics Card - Black (06G-P4-6264-KB),44228
VisionTek,RADEON RX 570 OC 4GB GDDR5 Graphics Card and PCI-E Riser,39805
NVIDIA,NVIDIA GeForce GTX1070 8GB GDDR5 Graphics Cards| PCI Express 3.0| DirectX 12| OpenGL 4.5| 1683 MHz OEM,58134
PNY Technologies Inc.,PNY GeForce GTX 1060 Graphic Card - 1.51 GHz Core - 1.71 GHz Boost Clock - 6 GB GDDR5 - Dual Slot Space Required - 192 bit Bus Width - Fan Cooler - DirectX 12| OpenGL 4.5 - 3 x DisplayPort - 1 x ...,27675
