,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,Positive_score,Negitive_score,Polerity_Score,Average_Sentence_length,Percentage_of_complex_words,Fog_index,Complex_word_count,Word_count,Uncertainity_score,Constraining_score,Positive_word_proportion,Negative_word_proportion,Uncertainty_word_proportion,Constraining_word_proportion
0,3662,SUNBEAM CORP/FL/,199803,06-03-1998,10-K405,edgar/data/3662/0000950170-98-000413.txt,42,180,-0.621621619,5.237584582,0.401355365,2.255575979,69589,173385,13,79,0.000242235,0.001038152,7.50E-05,0.000455633
1,3662,SUNBEAM CORP/FL/,199805,15-05-1998,10-Q,edgar/data/3662/0000950170-98-001001.txt,27,71,-0.448979587,6.780397097,0.398846385,2.871697393,45084,113036,16,86,0.000238862,0.000628118,0.000141548,0.00076082
2,3662,SUNBEAM CORP/FL/,199808,13-08-1998,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt,2,1,0.333333222,38.28,0.386624869,15.46664995,370,957,0,0,0.002089864,0.001044932,0,0
3,3662,SUNBEAM CORP/FL/,199811,12-11-1998,10-K/A,edgar/data/3662/0000950170-98-002145.txt,21,88,-0.614678893,5.737387061,0.390086901,2.450989584,33936,86996,13,42,0.00024139,0.001011541,0.000149432,0.000482781
4,3662,SUNBEAM CORP/FL/,199811,16-11-1998,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt,2,1,0.333333222,39.66666667,0.368067227,16.01389356,438,1190,0,0,0.001680672,0.000840336,0,0
5,3662,SUNBEAM CORP/FL/,199811,25-11-1998,10-Q/A,edgar/data/3662/0000950170-98-002278.txt,2,14,-0.749999953,3.651264167,0.375358166,1.610648933,6288,16752,0,3,0.000119389,0.000835721,0,0.000179083
6,3662,SUNBEAM CORP/FL/,199812,22-12-1998,10-Q,edgar/data/3662/0000950170-98-002401.txt,9,28,-0.5135135,4.210203187,0.367439761,1.831057179,10583,28802,9,13,0.000312478,0.000972155,0.000312478,0.000451358
7,3662,SUNBEAM CORP/FL/,199812,22-12-1998,10-Q,edgar/data/3662/0000950170-98-002402.txt,3,15,-0.66666663,3.374234303,0.372440007,1.498669724,6565,17627,3,5,0.000170193,0.000850967,0.000170193,0.000283656
8,3662,SUNBEAM CORP/FL/,199903,31-03-1999,NT 10-K,edgar/data/3662/0000950172-99-000362.txt,2,1,0.333333222,39.14285714,0.379562044,15.80896767,416,1096,0,0,0.001824818,0.000912409,0,0
9,3662,SUNBEAM CORP/FL/,199905,11-05-1999,10-K,edgar/data/3662/0000950170-99-000775.txt,17,51,-0.499999993,5.514428626,0.392931901,2.362944211,33789,85992,17,18,0.000197693,0.000593078,0.000197693,0.000209322
