Model, MRP, Price, Avalability_status, Rating, Ram_Rom, Display, Camera, Battery
Nokia 5.1 Plus (Black| 32 GB),13199,10999,Coming Soon,4.6,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB,14.73 cm (5.8 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,3060 mAh Battery
Nokia 5.1 Plus (Blue| 32 GB),13199,10999,Coming Soon,4.6,3 GB RAM | 32 GB ROM | Expandable Upto 400 GB,14.73 cm (5.8 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,3060 mAh Battery
Honor 7A (Gold| 32 GB),10999,8999,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP | 8.0MP Front Camera,3000 mAh Battery
Honor 7A (Blue| 32 GB),10999,8999,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP | 8.0MP Front Camera,3000 mAh Battery
Honor 7A (Black| 32 GB),10999,8999,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP | 8.0MP Front Camera,3000 mAh Battery
Asus Zenfone Max Pro M1 (Black| 32 GB),10999,10999,Available,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,15.21 cm (5.99 inch) Full HD+ Display,13MP + 5MP | 8MP Front Camera,5000 mAh Battery
Asus Zenfone Max Pro M1 (Black| 64 GB),12999,12999,Available,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,15.21 cm (5.99 inch) Full HD+ Display,13MP + 5MP | 8MP Front Camera,5000 mAh Battery
Honor 7S (Blue| 16 GB),8999,6999,Coming Soon,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3020 mAh Battery
Honor 7S (Black| 16 GB),8999,6999,Coming Soon,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3020 mAh Battery
Redmi 6 (Gold| 32 GB),8999,7999,Coming Soon,4.5,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery
